District,Location,Sublocation,Male,Female,Total,Households,Area in Sq. Km.,Population Density,Division,Province
MANDERA EAST,SHAFSHEFY,SHAFSHEFY,7219,6385,13604,1964,12.01,1133.02,CENTRAL,NORTH EASTERN
TAITA,WERUGHA,SHAGHASA,1280,1287,2567,603,16.51,155.5,WUNDANYI,COAST
WEST POKOT,CHEPKOPEGH,SHALPOGH,2452,2490,4942,1006,137.16,36.03,CHEPARERIA,RIFT VALLEY
LAIKIPIA WEST,IGWAMITI,SHAMANEI,2499,2571,5070,1108,33.48,151.42,NYAHURURU,RIFT VALLEY
NYANDARUA NORTH,SHAMATA,SHAMATA,3444,3477,6921,1745,30.73,225.23,NDARAGWA,CENTRAL
KAKAMEGA NORTH,SHIANDA,SHAMBERERE,2010,2032,4042,1008,3.98,1015.55,KABRAS SOUTH,WESTERN
KAKAMEGA NORTH,SHIANDA,SHAMONI,2996,3180,6176,1236,8.74,706.26,KABRAS SOUTH,WESTERN
LAMU,SIYU,SHANGA,339,320,659,113,6.46,101.99,FAZA,COAST
KAKAMEGA SOUTH,EREGI,SHANJETSO,1230,1443,2673,605,3.42,782.08,IKOLOMANI SOUTH,WESTERN
TRANS MARA,SHANKOE,SHANKOE,931,923,1854,316,19.75,93.85,KILGORIS,RIFT VALLEY
MANDERA CENTRAL,SHANTOLEY,SHANTOLEY,8812,5824,14636,1670,5.2,2812.94,RHAMU,NORTH EASTERN
MOMBASA,BAMBURI,SHANZU,4834,4430,9264,2458,7.19,1287.95,BAMBURI,COAST
MANDERA EAST,BURABOR,SHARIF,264,231,495,95,10.46,47.31,KHALALIO,NORTH EASTERN
TRANS MARA,SHARTUKA,SHARTUKA,1012,994,2006,342,30.29,66.24,PIRRAR,RIFT VALLEY
NYANDARUA NORTH,KIRITA,SHAURI,1857,1974,3831,943,10.95,349.83,NDARAGWA,CENTRAL
MALINDI,MALINDI,SHELLA,21477,21957,43434,10895,16.17,2686.12,MALINDI,COAST
LAMU,SHELLA/MANDA,SHELLA,1201,981,2182,514,17.25,126.49,AMU,COAST
KAKAMEGA NORTH,SHIRUGU,SHEYWE,2087,2257,4344,845,9.43,460.68,KABRAS CENTRAL,WESTERN
BUTERE,SHIANDA,SHIANDA,1602,1702,3304,746,3.73,885.06,BUTERE,WESTERN
KAKAMEGA NORTH,SIRUNGAI,SHIANDICHE,1744,1873,3617,651,5.52,655.41,KABRAS NORTH,WESTERN
KAKAMEGA EAST,SHIBUYE,SHIASABA,3491,3759,7250,1505,9.02,804.05,SHINYALU,WESTERN
BUTERE,S.MARAMA,SHIATSALA,1489,1666,3155,731,4.22,748.16,BUTERE,WESTERN
BUTERE,S.MARAMA,SHIBEMBE,2298,2658,4956,1110,5.02,988.12,BUTERE,WESTERN
KAKAMEGA CENTRAL,CENTRAL BUTSOTSO,SHIBULI,5567,6135,11702,2417,25.27,463.03,LURAMBI,WESTERN
KAKAMEGA SOUTH,ISULU,SHIBUNAME,1285,1412,2697,591,5.93,454.87,IKOLOMANI NORTH,WESTERN
GARISSA,DUJIS,SHIDLEY,3323,2648,5971,722,225.74,26.45,BALAMBALA,NORTH EASTERN
KAKAMEGA EAST,KHAYEGA,SHIDODO,5206,5598,10804,2338,11.03,979.71,SHINYALU,WESTERN
TAITA,WUNDANYI,SHIGHARO,1422,1343,2765,666,6.47,427.33,WUNDANYI,COAST
KAKAMEGA CENTRAL,NORTH BUTSOTSO,SHIKOMARI,3603,3891,7494,1586,13.03,575.29,LURAMBI,WESTERN
KAKAMEGA SOUTH,SHISERE,SHIKULU,2590,2910,5500,1195,9.35,587.98,IKOLOMANI NORTH,WESTERN
BUTERE,MARENYO,SHIKUNGA,1440,1553,2993,670,4.93,607.27,BUTERE,WESTERN
KAKAMEGA NORTH,LUKUME,SHIKUTSE,3350,3434,6784,1366,12.74,532.3,KABRAS WEST,WESTERN
KAKAMEGA NORTH,MAHIRA,SHILONGO,2544,2630,5174,1058,8.87,583.22,KABRAS SOUTH,WESTERN
KAKAMEGA SOUTH,SHISERE,SHIMANYIRO,3593,3939,7532,1643,11.04,682.15,IKOLOMANI NORTH,WESTERN
KWALE,MAJIMBONI,SHIMBA HILLS,690,654,1344,318,8.65,155.41,KUBO,COAST
KWALE,SHIMB AHILLS NAT. RESV,SHIMBA HILLS NAT RSV,73,57,130,39,216.3,0.6,SHIMBA HILLS NAT. RESV 01,COAST
GARISSA,SHIMBIR,SHIMBIR,1277,1108,2385,390,305.14,7.82,SANKURI,NORTH EASTERN
WAJIR SOUTH,SHIMBIR,SHIMBIR,1319,1028,2347,276,1444.96,1.62,SEBULE,NORTH EASTERN
MANDERA CENTRAL,SHIMBIR FATUMA,SHIMBIR FATUMA,10786,8804,19590,2145,814.27,24.06,SHIMBIR FATUMA,NORTH EASTERN
KILIFI,MTWAPA,SHIMO LATEWA,25242,25604,50846,14473,21.12,2407.36,KIKAMBALA,COAST
MSAMBWENI,PONGWE / KIDIMO,SHIMONI,2077,1992,4069,965,19.63,207.3,MSAMBWENI,COAST
KAKAMEGA NORTH,BURUNDU,SHIMULI,751,822,1573,310,2.77,567.83,KABRAS WEST,WESTERN
BUTERE,TOWNSHIP,SHINAMWINYULI,3619,3936,7555,1630,10.87,695.29,BUTERE,WESTERN
KAKAMEGA EAST,SHIBUYE,SHING'ONDO,5280,5979,11259,2532,11.21,1004.32,SHINYALU,WESTERN
KAKAMEGA CENTRAL,NORTH BUTSOTSO,SHINOYI,4270,4610,8880,1764,15.49,573.27,LURAMBI,WESTERN
KAKAMEGA NORTH,MATIOLI,SHIPALA,675,734,1409,291,3.09,456.47,KABRAS CENTRAL,WESTERN
BUTERE,MARAMA N.,SHIRAHA,2945,3292,6237,1412,11.56,539.36,BUTERE,WESTERN
KAKAMEGA CENTRAL,EAST BUTSOTSO,SHIRAKALU,2823,3041,5864,1173,8.02,731.45,LURAMBI,WESTERN
BUTERE,MULWANDA,SHIRALI,2604,2895,5499,1285,8.33,660.22,KHWISERO,WESTERN
MSAMBWENI,KINGWENDE SHIRAZI,SHIRAZI,2421,2300,4721,1030,38.88,121.44,MSAMBWENI,COAST
BUTERE,TOWNSHIP,SHIREMBE,2101,2435,4536,1052,4.81,942.13,BUTERE,WESTERN
KAKAMEGA CENTRAL,BUKHUNGU,SHIRERE,16958,16552,33510,7738,17.43,1922.94,MUNICIPALITY,WESTERN
BUTERE,TOWNSHIP,SHIROTSA,3897,4347,8244,1871,6.82,1208.11,BUTERE,WESTERN
MANDERA CENTRAL,SHIRSHIR,SHIRSHIR,4174,3454,7628,973,1095.38,6.96,ASHABITO,NORTH EASTERN
HAMISI,SHAVIRINGA,SHIRU,4661,4957,9618,2092,7.09,1356.88,SHAVIRINGA,WESTERN
KAKAMEGA EAST,KHAYEGA,SHIRULU,2204,2551,4755,1037,6.61,719.91,SHINYALU,WESTERN
KAKAMEGA SOUTH,EREGI,SHISEJERI,1415,2181,3596,637,2.92,1233.41,IKOLOMANI SOUTH,WESTERN
KAKAMEGA EAST,MURHANDA,SHISEMBE,2469,2677,5146,1088,5.86,878.7,SHINYALU,WESTERN
KAKAMEGA SOUTH,SHISERE,SHISESO,3233,3498,6731,1506,9.11,738.74,IKOLOMANI NORTH,WESTERN
KAKAMEGA EAST,MURHANDA,SHISWA,4896,5331,10227,2144,12.36,827.59,SHINYALU,WESTERN
BUTERE,LUNZA,SHITARI,4236,4588,8824,1879,16.35,539.62,BUTERE,WESTERN
KAKAMEGA SOUTH,SHIRUMBA,SHITOLI,2213,2516,4729,1100,6.5,728.04,IKOLOMANI NORTH,WESTERN
KAKAMEGA SOUTH,SHIRUMBA,SHIVAGALA,3383,3917,7300,1624,7.47,976.72,IKOLOMANI NORTH,WESTERN
KAKAMEGA SOUTH,IGUHU,SHIVEYE,1629,1765,3394,750,5.25,646.01,IKOLOMANI SOUTH,WESTERN
KAKAMEGA NORTH,TOWNSHIP,SHIVIKHWA,2019,2185,4204,907,8.61,488.01,KABRAS CENTRAL,WESTERN
KAKAMEGA CENTRAL,CENTRAL BUTSOTSO,SHIYUNZU,4557,4699,9256,1919,14.79,625.98,LURAMBI,WESTERN
KAJIADO NORTH,OLOOSIRKON,SHOLINKE,1334,1097,2431,544,87.09,27.91,ISINYA,RIFT VALLEY
MALINDI,GONGONI,SHOMELLA,890,967,1857,252,55.27,33.6,MAGARINI,COAST
KAJIADO NORTH,SHOMPOLE,SHOMPOLE,860,838,1698,330,116.44,14.58,MAGADI,RIFT VALLEY
CHALBI,SHURA,SHURA,696,508,1204,308,4144.43,0.29,TURBI,EASTERN
KURIA EAST,SIABAI,SIABAI,2511,2783,5294,980,8.01,661.01,NTIMARU,NYANZA
MBEERE,NTHAWA,SIAKAGO,4069,4147,8216,2270,26.1,314.79,SIAKAGO,EASTERN
NYAMIRA,BONYAMATUTA CHACHE,SIAMANI,2840,3059,5899,1244,8.21,718.64,NYAMIRA,NYANZA
SAMBURU CENTRAL,PORO,SIAMBU,381,364,745,128,270.65,2.75,KIRISIA,RIFT VALLEY
NAROK SOUTH,SIANA,SIANA,4054,4065,8119,1640,354.82,22.88,MARA,RIFT VALLEY
MOLO,MAU NAROK,SIAPEI,15302,15497,30799,7638,141.41,217.8,MAU NAROK,RIFT VALLEY
NAROK NORTH,SIAYAPEI,SIAYAPEI,1874,1753,3627,708,81.33,44.6,MAU,RIFT VALLEY
BOMET,SIBAIYAN,SIBAIYAN,3037,3008,6045,1126,11.89,508.38,BOMET CENTRAL,RIFT VALLEY
BARINGO NORTH,SIBILO,SIBILO,2039,2133,4172,990,67.77,61.57,KIPSARAMAN,RIFT VALLEY
SAMIA,NAMBUKU,SIBINGA,1388,1581,2969,583,7.09,418.53,FUNYULA,WESTERN
MARAKWET,KOIBIRIR,SIBOW,1238,1215,2453,660,20.62,118.99,TOT,RIFT VALLEY
BUNGOMA WEST,CHWELE,SICHEI,4782,5036,9818,1913,15.46,634.97,CHWELE,WESTERN
KAKAMEGA CENTRAL,SHIEYWE,SICHILAYI,18956,19293,38249,10475,15.3,2500.47,MUNICIPALITY,WESTERN
BUSIA,BUKHAYO CENTRAL,SIDENDE,3615,3964,7579,1609,18.02,420.63,NAMBALE,WESTERN
NYANDO,NYANGOMA,SIDHO EAST II,3403,3437,6840,1564,18.19,375.99,MIWANI,NYANZA
NYANDO,N.E. KANO,SIDHO I,1358,1449,2807,620,9.04,310.64,MIWANI,NYANZA
KAKAMEGA CENTRAL,WEST BUNYALA,SIDIKHO,4359,4878,9237,1771,20.85,443.09,NAVAKHOLO,WESTERN
LAIKIPIA NORTH,SIEKU,SIEKU,871,811,1682,354,183.72,9.16,MUKOGODO,RIFT VALLEY
BUSIA,NAMBALE T/SHIP,SIEKUNYA,3694,3869,7563,1597,13.32,567.86,NAMBALE,WESTERN
SIAYA,WEST UGENYA,SIFUYO EAST,810,992,1802,479,4.29,420.14,UKWALA,NYANZA
SIAYA,WEST UGENYA,SIFUYO WEST,568,688,1256,315,2.8,448.83,UKWALA,NYANZA
SAMIA,AGENGA,SIGALAME,1923,2037,3960,804,12.57,315.04,FUNYULA,WESTERN
RARIEDA,WEST ASEMBO,SIGER,4677,5110,9787,2285,29.52,331.55,RARIEDA,NYANZA
BUNYALA,BUNYALA WEST,SIGINGA,1680,1851,3531,779,2.52,1399.75,BUDALANGI,WESTERN
NANDI EAST,KOILOT,SIGIRAI,1139,1104,2243,494,10.1,222.06,OL'LESSOS,RIFT VALLEY
SIAYA,EAST UHOLO,SIGOMERE,1865,2219,4084,946,7.51,544.16,UGUNJA,NYANZA
KIKUYU,KIKUYU,SIGONA,5979,5978,11957,3653,6.7,1783.56,KIKUYU,CENTRAL
BOMET,SIGOR,SIGOR,2551,2742,5293,1107,15.5,341.42,SIGOR,RIFT VALLEY
TINDERET,SOBA,SIGORIA,681,636,1317,246,9.43,139.7,TINDERET,RIFT VALLEY
SOTIK,KAPKELEI,SIGORIAN,2281,2492,4773,892,14.96,319.14,NDANAI,RIFT VALLEY
KOIBATEK,LEMBUS-CHEMORGONG,SIGORO,896,913,1809,318,31.12,58.13,ELDAMA RAVINE,RIFT VALLEY
ELDORET EAST,CHEPKOILEL,SIGOT,13961,13302,27263,7386,9.11,2993.5,MOIBEN,RIFT VALLEY
NANDI NORTH,SIGOT,SIGOT,1161,1109,2270,453,10.08,225.25,KOSIRAI,RIFT VALLEY
MOLO,NESSUIT,SIGOTIK,2223,2007,4230,881,13.86,305.14,NJORO,RIFT VALLEY
KERICHO,SIGOWET,SIGOWET,2385,2404,4789,985,9.62,497.62,SIGOWET,RIFT VALLEY
SAMIA,NANGOSIA,SIGULU,1349,1544,2893,629,7.66,377.73,FUNYULA,WESTERN
MALINDI,GARASHI,SIGWAYA,1036,1037,2073,305,52.91,39.18,MARAFA,COAST
SIAYA,NORTH EAST UGENYA,SIHAY,1583,1871,3454,836,12.46,277.11,UKWALA,NYANZA
BUSIA,ELUKHARI,SIKARIRA,2308,2588,4896,956,7.8,628.09,BUTULA,WESTERN
TRANS MARA,SIKAWA,SIKAWA,1057,1008,2065,397,36.87,56.01,KEIYAN,RIFT VALLEY
TRANS NZOIA WEST,SIKHENDU,SIKHENDU,11696,12433,24129,4804,40.97,589.01,KIMININI,RIFT VALLEY
BUNGOMA NORTH,MAENI,SIKHENDU,5212,5472,10684,2028,17.68,604.31,KIMILILI,WESTERN
BUSIA,BUKHAYO EAST,SIKINGA,2780,2966,5746,1139,15.03,382.18,NAMBALE,WESTERN
GARISSA,SIKLEY,SIKLEY,3107,2338,5445,596,153.56,35.46,DANYERE,NORTH EASTERN
BUNGOMA WEST,CHWELE,SIKULU,2143,2317,4460,845,8.16,546.7,CHWELE,WESTERN
TURKANA SOUTH,KAPEDO,SILALE,981,614,1595,203,304.53,5.24,LOMELO,RIFT VALLEY
KINANGO,CHENGONI,SILALONI,2495,2886,5381,708,126.51,42.53,SAMBURU,COAST
SAMBURU EAST,NKARONI,SILANGO NANYUKIE,543,730,1273,320,194.9,6.53,WAMBA,RIFT VALLEY
ELDORET EAST,KAPNGETUNY,SILIBOI,525,451,976,221,13.06,74.73,AINABKOI,RIFT VALLEY
NYANDARUA NORTH,GATHANJI,SILIBWET,6764,6857,13621,3265,52.38,260.04,OLJORO-OROK,CENTRAL
MOLO,SILIBWET,SILIBWET,1075,1027,2102,361,23.61,89.04,KERINGET,RIFT VALLEY
BOMET,TOWNSHIP,SILIBWET,4446,4569,9015,1822,13.78,654.17,BOMET CENTRAL,RIFT VALLEY
SAMBURU NORTH,WASO RONGAI,SIMALE,350,350,700,125,130.2,5.38,NYIRO,RIFT VALLEY
WEST POKOT,CHEPKOMOS,SIMAT,227,239,466,86,8.88,52.46,SOOK,RIFT VALLEY
WARENG,SIMAT,SIMAT,6018,6098,12116,2558,44.67,271.22,KAPSERET,RIFT VALLEY
WEST POKOT,RIWO,SIMATWA,1416,1360,2776,524,57.38,48.38,KONGELAI,RIFT VALLEY
NYANDARUA NORTH,SHAMATA,SIMBARA,998,940,1938,522,21.99,88.12,NDARAGWA,CENTRAL
KERICHO,SOIN,SIMBI,1728,1766,3494,704,43.66,80.03,SOIN,RIFT VALLEY
NAKURU,MANYATTA,SIMBOIYON,2015,2067,4082,823,24,170.08,MBOGOINI,RIFT VALLEY
SIAYA,SOUTH UGENYA,SIMENYA,1309,1474,2783,692,6.64,419.42,UGUNJA,NYANZA
MUTOMO,SIMISI,SIMISI,1201,1345,2546,475,58.82,43.28,KANZIKO,EASTERN
KWALE,TIWI,SIMKUMBE,5260,5376,10636,2094,32.24,329.86,MATUGA,COAST
BURET,SIMOT,SIMOT,2099,2199,4298,821,9.46,454.36,KONOIN,RIFT VALLEY
POKOT CENTRAL,KAPYONGEN,SIMOTWO,1648,1699,3347,595,18.42,181.67,LELAN,RIFT VALLEY
SIAYA,UKWALA,SIMUR,1037,1184,2221,548,6.09,364.92,UKWALA,NYANZA
SIAYA,UKWALA,SIMUR EAST,837,1000,1837,439,4.35,421.98,UKWALA,NYANZA
SIAYA,UKWALA,SIMUR KONDIEK,1241,1491,2732,658,7.49,364.75,UKWALA,NYANZA
SUBA,KAKSINGRI CENTRL,SINDO,3096,3498,6594,1624,14.77,446.55,CENTRAL,NYANZA
NANDI EAST,KOSOIYWO,SINENDET,670,705,1375,312,1.73,793.19,NANDI HILLS,RIFT VALLEY
MOLO,KAMARA,SINENDET,1026,1092,2118,400,7.85,269.72,KAMARA,RIFT VALLEY
MOLO,GICHOBO,SINENDET,1606,1724,3330,757,12.41,268.24,LARE,RIFT VALLEY
MOLO,SINENDET,SINENDET,720,680,1400,289,6.98,200.57,OLENGURUONE,RIFT VALLEY
KAJIADO CENTRAL,ELANGATA WUAS,SINGIRAINE,969,894,1863,365,207.03,9,CENTRAL,RIFT VALLEY
KEIYO,KAMOI,SINGORE,437,598,1035,185,6.59,157.04,KAMARINY,RIFT VALLEY
KERICHO,IRAA,SINGORONIK,1996,1980,3976,800,11,361.42,SIGOWET,RIFT VALLEY
BOMET,SINGORWET,SINGORWET,2721,2694,5415,1004,9.42,574.71,BOMET CENTRAL,RIFT VALLEY
POKOT CENTRAL,CHEBON,SINNA,1207,1373,2580,408,12.56,205.35,TAPACH,RIFT VALLEY
RACHUONYO,EAST KAMAGAK,SINO KAGOLA,2124,2376,4500,959,17.81,252.71,KASIPUL,NYANZA
BARINGO,NGAMBO,SINTAAN,990,989,1979,361,14.01,141.29,MARIGAT,RIFT VALLEY
TRANS NZOIA EAST,SINYERERE,SINYERERE,12816,13074,25890,5255,72.42,357.52,KAPLAMAI,RIFT VALLEY
BUNGOMA SOUTH,KIMAETI,SIOMBE,5780,6288,12068,2389,21.55,559.94,BUMULA,WESTERN
BURET,EMBOMOS,SIOMO,1232,1247,2479,462,7.7,321.99,CHEPTALAL,RIFT VALLEY
BURET,TEBESONIK,SIONGI,893,864,1757,340,4.44,395.31,CHEBORGE,RIFT VALLEY
BOMET,SIONGIROI,SIONGIROI,2852,3051,5903,1083,31.11,189.77,SIONGIROI,RIFT VALLEY
BUNGOMA NORTH,KABUYEFWE,SIRAKARU,4993,5362,10355,1936,18.71,553.46,TONGAREN,WESTERN
NAIROBI WEST,KIBERA,SIRANGA,10198,7165,17363,6164,0.24,71072.45,KIBERA,NAIROBI
SIAYA,UKWALA,SIRANGA,1531,1918,3449,820,7.39,466.53,UKWALA,NYANZA
SAMBURU CENTRAL,SIRATA OIROBOI,SIRATA OIROBOI,653,693,1346,269,18.69,72.01,KIRISIA,RIFT VALLEY
MANGA,NORTH KITUTU,SIRATE,1579,1848,3427,721,4.74,722.46,MANGA,NYANZA
SAMIA,NANGOSIA,SIREKERESI,1247,1448,2695,592,6.09,442.85,FUNYULA,WESTERN
SIAYA,NORTH WEST GEM,SIREMBE,2202,2398,4600,1026,11.19,411.22,WAGAI,NYANZA
TRANS NZOIA WEST,WAITALUK,SIRENDE,11548,12129,23677,4783,38.89,608.87,CENTRAL,RIFT VALLEY
NANDI EAST,SIRET,SIRET,1072,987,2059,518,8.26,249.27,NANDI HILLS,RIFT VALLEY
KIPKELION,LESIRWA,SIRET,1004,953,1957,368,11.03,177.38,KIPKELION,RIFT VALLEY
MOLO,TUIYOTICH,SIRIAT,1227,1151,2378,529,5.37,443.05,MAUCHE,RIFT VALLEY
KAKAMEGA CENTRAL,NAMBACHA,SIRIGOI,4026,4316,8342,1644,18.48,451.47,NAVAKHOLO,WESTERN
ELDORET WEST,SIRIKWA,SIRIKWA,1950,2041,3991,782,19.79,201.63,SOY,RIFT VALLEY
MOLO,SIRIKWA,SIRIKWA,4959,4910,9869,2129,38.06,259.29,KAMARA,RIFT VALLEY
SIAYA,CENTRAL GEM,SIRIWO,2081,2287,4368,990,8.58,509.06,YALA,NYANZA
KEIYO,KAMOGICH,SIROCH,601,536,1137,284,27.88,40.78,TAMBACH,RIFT VALLEY
SOTIK,CHEBIRBELEK,SIROIN,2182,2314,4496,810,8.21,547.46,KAPLETUNDO,RIFT VALLEY
LAIKIPIA WEST,MARMANET,SIRON,3603,3627,7230,1738,40.67,177.76,RUMURUTI,RIFT VALLEY
BARINGO,KIBOINO,SIRONOI,372,373,745,154,7.59,98.12,SALAWA,RIFT VALLEY
NANDI CENTRAL,KAPSISIYWA,SIRONOI,411,368,779,153,2.73,285.41,KAPSABET,RIFT VALLEY
TRANS MARA,KAPUNE,SIRUA-AULO,1848,1925,3773,608,19.4,194.46,PIRRAR,RIFT VALLEY
KOIBATEK,SIRWA,SIRWA,610,627,1237,238,16.23,76.2,SIRWA,RIFT VALLEY
NANDI EAST,KAPCHORWA,SIRWA,1364,1288,2652,606,9.71,273.21,NANDI HILLS,RIFT VALLEY
POKOT NORTH,KORPU,SIRWACH,799,865,1664,350,164.86,10.09,KASEI,RIFT VALLEY
BARINGO,KIBONJOS,SIRWET,202,175,377,105,13.56,27.8,SACHO,RIFT VALLEY
BUNYALA,BUNYALA NORTH,SISENYE,2183,2357,4540,916,9.41,482.44,BUDALANGI,WESTERN
MARAKWET,KIPSAIYA,SISIYA,1424,1497,2921,613,13.33,219.08,KAPSOWAR,RIFT VALLEY
BUNGOMA EAST,NDIVISI,SITABICHA,5280,5464,10744,1999,13.69,784.62,NDIVISI,WESTERN
BUNGOMA WEST,MALAKISI,SITABICHA,2066,2226,4292,824,9.75,440.21,MALAKISI,WESTERN
TRANS NZOIA EAST,SITATUNGA,SITATUNGA,13103,13261,26364,5304,63.37,416.04,KAPLAMAI,RIFT VALLEY
TRANS MARA,MOYOI,SITETI,522,554,1076,204,22.68,47.43,LOLGORIAN,RIFT VALLEY
BUNGOMA EAST,SITIKHO,SITIKHO,5351,5722,11073,2175,21.6,512.52,WEBUYE,WESTERN
KAKAMEGA EAST,KHAYEGA,SITOCHI,3763,4493,8256,1882,6.7,1232.66,SHINYALU,WESTERN
TRANS MARA,ESOIT-NAIBOR,SITOKA,396,435,831,164,109.08,7.62,KIRINDON,RIFT VALLEY
KERICHO,SITOTWET,SITOTWET,734,692,1426,297,3.96,359.7,AINAMOI,RIFT VALLEY
BOMET,KIMUNCHUL,SITOTWET,1726,1732,3458,660,8.89,388.9,LONGISA,RIFT VALLEY
KAKAMEGA CENTRAL,EAST BUNYALA,SIVILIE,5797,5990,11787,2430,22.96,513.47,NAVAKHOLO,WESTERN
NANDI EAST,SIWO,SIWO,346,373,719,134,1.66,433.71,OL'LESSOS,RIFT VALLEY
MOLO,KERINGET,SIWOT,1493,1428,2921,586,16.89,172.9,KERINGET,RIFT VALLEY
KIPKELION,SIWOT,SIWOT,823,814,1637,317,5.43,301.39,CHILCHILA,RIFT VALLEY
WEST POKOT,KAISAKAT,SIYOI,2580,2537,5117,959,21.57,237.23,KAPENGURIA,RIFT VALLEY
LAMU,SIYU,SIYU,610,560,1170,250,29.13,40.16,FAZA,COAST
WEST POKOT,SENETWO,SLA,833,820,1653,288,10.05,164.49,CHEPARERIA,RIFT VALLEY
TINDERET,SOBA,SOBA RIVER,881,845,1726,309,9.57,180.28,TINDERET,RIFT VALLEY
POKOT CENTRAL,BATEI,SOBUKWO,839,835,1674,358,32.59,51.36,SIGOR,RIFT VALLEY
NANDI EAST,SOCHOI,SOCHOI,1099,1130,2229,437,6.98,319.41,OL'LESSOS,RIFT VALLEY
BARINGO,TALAI,SOGON,360,363,723,175,11.77,61.44,KABARNET,RIFT VALLEY
NAROK SOUTH,SOGOO,SOGOO,7800,7705,15505,2781,34.43,450.33,MULOT,RIFT VALLEY
NANDI NORTH,KAMASAI,SOIMINING,958,960,1918,357,10.51,182.44,KIPKAREN,RIFT VALLEY
SAMBURU CENTRAL,BARSALOI,SOIT NAIBOR,468,521,989,208,76.74,12.89,KIRISIA,RIFT VALLEY
NANDI EAST,CHEMOMI,SOIYET,959,830,1789,464,7.68,232.82,NANDI HILLS,RIFT VALLEY
POKOT CENTRAL,KOPRO,SOKA,524,532,1056,229,24.92,42.38,SIGOR,RIFT VALLEY
SUBA,MFANGANO NORTH,SOKLO NORTH,206,194,400,79,3.24,123.37,MFANGANO,NYANZA
SUBA,MFANGANO WEST,SOKLO SOUTH,471,506,977,176,12.65,77.25,MFANGANO,NYANZA
KILIFI,TOWNSHIP,SOKONI,3826,4184,8010,2188,1.09,7356.05,BAHARI,COAST
NAIVASHA,NAIVASHA TOWN,SOKONI,22317,23226,45543,15657,105.81,430.43,NAIVASHA,RIFT VALLEY
TINDERET,SONGHOR,SOKOSIK,1523,1507,3030,587,17.3,175.16,TINDERET,RIFT VALLEY
KOIBATEK,SABATIA,SOLIAN,1108,1079,2187,456,9.44,231.73,ESAGERI,RIFT VALLEY
MOLO,TULWET,SOLIAT,2864,2674,5538,1271,24.9,222.42,KURESOI,RIFT VALLEY
KERICHO,SOLIAT,SOLIAT,637,616,1253,239,4.19,299.25,SOIN,RIFT VALLEY
POKOT CENTRAL,MWINO,SOLION,2309,2406,4715,915,47.5,99.26,SIGOR,RIFT VALLEY
MOYALE,SOLOLO MAKUTANO,SOLOLO MAKUTANO,630,637,1267,226,737.53,1.72,OBBU,EASTERN
VIHIGA,W. MARAGOLI,SOLONGO,2917,3604,6521,1343,4.68,1394.45,CHAVAKALI,WESTERN
SOTIK,KANUSIN,SOLYOT,981,1124,2105,413,6.55,321.35,MUTARAKWA,RIFT VALLEY
MOYALE,SOMARE,SOMARE,745,613,1358,238,21,64.66,CENTRAL,EASTERN
KERICHO,KAITUI,SOMBICHO,347,377,724,151,3.2,226.1,SOIN,RIFT VALLEY
TANA RIVER,SALA,SOMBO,736,704,1440,292,232.31,6.2,MADOGO,COAST
KIPKELION,CHILCHILA,SOMBO,1897,1837,3734,790,13.38,279.01,CHILCHILA,RIFT VALLEY
MARSABIT,SONGA,SONGA,728,719,1447,315,43.73,33.09,CENTRAL,EASTERN
TINDERET,SONGHOR,SONGHOR,1614,1556,3170,562,20.69,153.21,TINDERET,RIFT VALLEY
ELDORET EAST,KIPKABUS,SONGICH,838,947,1785,332,14.64,121.94,AINABKOI,RIFT VALLEY
WARENG,MEGUN,SONGOLIET,1745,1763,3508,679,19.94,175.96,KESSES,RIFT VALLEY
NANDI CENTRAL,TERIGE,SONGOLIET,1082,1054,2136,405,7.98,267.8,KILIBWONI,RIFT VALLEY
KIPKELION,KIPTERIS,SONGONYET,1560,1554,3114,555,12.5,249.18,CHILCHILA,RIFT VALLEY
TURKANA NORTH,KALOBEYEI,SONGOT,884,1010,1894,188,1025.68,1.85,OROPOI,RIFT VALLEY
TURKANA NORTH,SONGOT,SONGOT,2075,1545,3620,459,562.43,6.44,LOKICHOGGIO,RIFT VALLEY
NAROK NORTH,SIAYAPEI,SONKORO,1094,1073,2167,423,63.74,34,MAU,RIFT VALLEY
KOIBATEK,SIRWA,SORE,760,832,1592,309,25.27,63.01,SIRWA,RIFT VALLEY
KIPKELION,SORGET,SORGET,1548,1449,2997,720,75.72,39.58,SORGET,RIFT VALLEY
MIGORI,WEST KARUNGU,SORI,5051,5066,10117,2271,15.21,664.98,KARUNGU,NYANZA
BARINGO,EMOM,SOROK,707,655,1362,240,17.2,79.19,TENGES,RIFT VALLEY
MASABA,IKORONGO,SOSERA,2138,2345,4483,960,6.76,663.13,MASABA,NYANZA
LAIKIPIA WEST,SOSIAN,SOSIAN,1098,875,1973,528,410.56,4.81,RUMURUTI,RIFT VALLEY
NAROK NORTH,ONGATA NAADO,SOSIAN,415,387,802,181,94.7,8.47,MAU,RIFT VALLEY
ELDORET WEST,SOSIANI,SOSIANI,3232,3193,6425,1202,39.43,162.95,TURBO,RIFT VALLEY
ELDORET EAST,KARUNA,SOSIO,2954,2789,5743,1078,63.41,90.57,MOIBEN,RIFT VALLEY
BARINGO,KIBONJOS,SOSION,223,227,450,108,16.45,27.36,SACHO,RIFT VALLEY
